ID; FECHA; GERENCIA CAM; SUB GERENCIA CAM; AREA DE CAM; EMPRESA CONTRATISTA; Nº ENC; Q NC; N IPAL; CIERRE
111 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50; CERRADA
100 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
103 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
109 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
96 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 60; N/A
99 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
98 | 05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "MCH SERVICIOS ELECTRICOS"; 1; 0; 0; N/A
108 | 05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0; N/A
82 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
83 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
93 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20; N/A
94 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20; N/A
95 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20; N/A
90 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20; N/A
97 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20; N/A
87 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 40; N/A
88 | 05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CAM Chile S.A"; 1; 0; 0; N/A
89 | 05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "MCH SERVICIOS ELECTRICOS"; 1; 0; 0; N/A
75 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
77 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
85 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Construccion OOEE y OOCC"; " -- SIN CONTRATISTA -- "; 1; 2; 120; ABIERTA
91 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 60; N/A
92 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20; N/A
101 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
102 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
76 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20; N/A
79 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
106 | 05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0; N/A
107 | 05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
73 | 05-2014; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
105 | 05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "CAM Chile S.A"; 1; 0; 0; N/A
64 | 05-2014; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 70; ABIERTA
70 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
71 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "CAM Chile S.A"; 1; 0; 0; N/A
80 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 0; N/A
81 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 0; N/A
74 | 05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0; N/A
78 | 05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0; N/A
63 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 40; N/A
65 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
66 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
67 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
68 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
55 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
47 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
48 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
61 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
62 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
56 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
57 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
58 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
49 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
50 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
51 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
104 | 05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0; N/A
40 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
52 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
53 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
54 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
41 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
59 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
60 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
37 | 05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
27 | 05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
