ID,FECHA,GERENCIA CAM,SUB GERENCIA CAM,AREA DE CAM,EMPRESA CONTRATISTA,Nº ENC,Q NC,N IPAL,CIERRE
"348","06-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"349","06-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"345","06-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"346","06-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"347","06-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","2","40","ABIERTA"
"344","06-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","5","90","ABIERTA"
"302","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo","CAM Chile S.A","1","0","0","N/A"
"288","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"309","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"313","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","6","60","ABIERTA"
"316","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","6","60","ABIERTA"
"319","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","6","60","ABIERTA"
"321","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"326","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"328","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"330","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia","CAM Chile S.A","1","0","0","N/A"
"305","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC","CAM Chile S.A","1","0","0","N/A"
"300","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo","CAM Chile S.A","1","1","20","ABIERTA"
"301","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo","CAM Chile S.A","1","0","0","N/A"
"324","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"283","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"303","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","3","50","ABIERTA"
"304","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","2","20","ABIERTA"
