FECHA	 GERENCIA CAM	 SUB GERENCIA CAM	 AREA DE CAM	 EMPRESA CONTRATISTA	 Nº ENC	 Q NC	 N IPAL
06-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
06-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
06-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
06-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
06-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	40
06-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	5	90
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	6	60
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	6	60
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	6	60
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	3	50
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	1	20
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	2	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	3	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
