ITEM;TOTAL
respuesta1.1_obras_civiles;9
respuesta1.1_telecomunicaciones;1
respuesta1.2_logistica;4
respuesta1.2_obras_civiles;2
respuesta1.2_telecomunicaciones;1
respuesta1.3_obras_civiles;4
respuesta1.4_logistica;3
respuesta1.4_obras_civiles;3
respuesta1.5_electrica;1
respuesta1.5_obras_civiles;3
respuesta10.1_electrica;60
respuesta10.1_logistica;2
respuesta10.1_obras_civiles;5
respuesta10.2_electrica;4
respuesta10.2_obras_civiles;4
respuesta10.3_electrica;4
respuesta10.3_obras_civiles;3
respuesta11.1_electrica;55
respuesta11.1_obras_civiles;18
respuesta12.1_electrica;16
respuesta12.1_obras_civiles;1
respuesta2.2_electrica;1
respuesta3.1_electrica;1
respuesta3.1_obras_civiles;1
respuesta3.2_electrica;27
respuesta3.2_obras_civiles;8
respuesta3.3_electrica;22
respuesta3.3_obras_civiles;6
respuesta3.4_electrica;26
respuesta3.4_logistica;1
respuesta3.4_obras_civiles;6
respuesta3.5_electrica;19
respuesta3.5_obras_civiles;2
respuesta4.10_electrica;35
respuesta4.10_obras_civiles;9
respuesta4.11_electrica;2
respuesta4.11_logistica;1
respuesta4.11_obras_civiles;6
respuesta4.12_electrica;7
respuesta4.12_obras_civiles;14
respuesta4.1_electrica;13
respuesta4.1_obras_civiles;8
respuesta4.2_electrica;19
respuesta4.2_obras_civiles;7
respuesta4.3_electrica;10
respuesta4.3_obras_civiles;5
respuesta4.4_electrica;13
respuesta4.4_logistica;3
respuesta4.4_obras_civiles;8
respuesta4.5_electrica;10
respuesta4.5_obras_civiles;8
respuesta4.6_electrica;3
respuesta4.6_obras_civiles;2
respuesta4.7_electrica;27
respuesta4.7_obras_civiles;7
respuesta4.8_electrica;24
respuesta4.8_obras_civiles;9
respuesta4.9_electrica;6
respuesta4.9_obras_civiles;6
respuesta5.1_electrica;7
respuesta5.1_obras_civiles;4
respuesta5.2_electrica;23
respuesta5.2_logistica;1
respuesta5.2_obras_civiles;7
respuesta5.3_electrica;42
respuesta5.3_logistica;1
respuesta5.3_obras_civiles;1
respuesta6.1_electrica;22
respuesta6.1_logistica;46
respuesta6.1_obras_civiles;24
respuesta6.2_electrica;2
respuesta6.2_obras_civiles;9
respuesta6.3_electrica;1
respuesta6.3_logistica;1
respuesta6.3_obras_civiles;3
respuesta6.4_electrica;3
respuesta6.4_logistica;5
respuesta6.4_obras_civiles;5
respuesta6.5_logistica;1
respuesta7.1_electrica;21
respuesta7.1_obras_civiles;8
respuesta7.2_electrica;34
respuesta7.2_logistica;1
respuesta7.2_obras_civiles;20
respuesta8.1_electrica;13
respuesta8.1_logistica;1
respuesta8.1_obras_civiles;7
respuesta8.2_electrica;17
respuesta8.2_logistica;1
respuesta8.2_obras_civiles;5
respuesta9.1_electrica;132
respuesta9.1_logistica;26
respuesta9.1_obras_civiles;79
respuesta9.2_logistica;1
respuesta9.2_obras_civiles;1
respuesta9.3_electrica;3
respuesta9.3_obras_civiles;4
